               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.071431,            0.045635,            0.011278,             0.67663,             0.31608,              0.3086,             0.14478,            0.079283,            0.046552,            0.008187,            0.012058,           0.0010582,           0.0010582
                  90,            0.075192,            0.038132,            0.011291,             0.69192,             0.34549,             0.31396,             0.15968,            0.072326,            0.048451,           0.0081246,            0.010981,            0.000981,            0.000981
                  91,            0.073558,            0.054071,            0.011178,             0.69192,             0.34549,             0.31396,             0.15968,            0.072326,            0.048451,           0.0081246,           0.0099018,          0.00090181,          0.00090181
                  92,            0.067946,            0.034645,            0.010433,             0.69192,             0.34549,             0.31396,             0.15968,            0.072326,            0.048451,           0.0081246,           0.0088206,          0.00082064,          0.00082064
                  93,            0.070259,            0.050853,           0.0092445,             0.69397,              0.4037,             0.35302,             0.17804,            0.070592,            0.048703,           0.0081499,           0.0077375,          0.00073749,          0.00073749
                  94,            0.068527,            0.040097,            0.011684,             0.69397,              0.4037,             0.35302,             0.17804,            0.070592,            0.048703,           0.0081499,           0.0066524,          0.00065236,          0.00065236
                  95,            0.068949,            0.045101,            0.012226,             0.69397,              0.4037,             0.35302,             0.17804,            0.070592,            0.048703,           0.0081499,           0.0055653,          0.00056525,          0.00056525
                  96,            0.069939,            0.045988,            0.010816,             0.64775,             0.53185,             0.38223,             0.18435,            0.068207,            0.048763,           0.0080369,           0.0044762,          0.00047616,          0.00047616
                  97,            0.065678,            0.049497,            0.012625,             0.64775,             0.53185,             0.38223,             0.18435,            0.068207,            0.048763,           0.0080369,           0.0033851,          0.00038509,          0.00038509
                  98,             0.06677,            0.038242,            0.012313,             0.64775,             0.53185,             0.38223,             0.18435,            0.068207,            0.048763,           0.0080369,            0.002292,          0.00029204,          0.00029204
                  99,            0.068312,            0.048274,            0.010156,             0.47161,             0.56548,              0.4224,             0.19149,            0.067158,            0.048841,           0.0079806,            0.001197,          0.00019701,          0.00019701
